beds,baths,size_m2,rent_thb,built_year,subdistrict,district,province
1,1.0,57.0,12000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,57.0,55000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,45.0,32000,,Phra Khanong,Khlong Toei,Bangkok
2,1.0,64.0,35000,,Talat Noi,Samphanthawong,Bangkok
1,1.0,51.0,68000,,Khlong Tan Nuea,Vadhana,Bangkok
2,1.0,62.0,32000,,Suriyawong,Bang Rak,Bangkok
2,1.0,52.0,50000,,Khlong Toei,Khlong Toei,Bangkok
1,1.0,59.0,47000,,Khlong Tan Nuea,Vadhana,Bangkok
2,1.0,52.0,42000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,61.0,55000,,Lumphini,Pathum Wan,Bangkok
2,1.0,45.0,40000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,35.0,13500,,Bang Chak,Phra Khanong,Bangkok
1,1.0,45.0,45000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,48.0,35000,,Makkasan,Ratchathewi,Bangkok
1,1.0,53.0,30000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,32.0,25000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,30.0,27500,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,36.0,22000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,46.0,35000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,60.0,43000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,37.0,50000,,Khlong Tan Nuea,Vadhana,Bangkok
2,1.0,42.0,55000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,40.0,36000,,Khlong Toei,Khlong Toei,Bangkok
2,1.0,51.0,35000,,Chatuchak,Chatuchak,Bangkok
1,1.0,70.0,39000,,Thanon Phaya Thai,Ratchathewi,Bangkok
2,1.0,68.0,50000,,Khlong San,Khlong San,Bangkok
1,1.0,87.0,120000,,Lumphini,Pathum Wan,Bangkok
1,1.0,50.0,70000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,43.0,50000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,50.0,48000,,Suriyawong,Bang Rak,Bangkok
2,1.0,55.0,55000,,Si Phraya,Bang Rak,Bangkok
1,1.0,38.0,34000,,Khlong Toei,Khlong Toei,Bangkok
1,1.0,33.0,45000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,60.0,60000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,49.0,45000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,42.0,47000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,37.0,42000,,Khlong Tan Nuea,Vadhana,Bangkok
2,1.0,87.0,65000,,Si Lom,Bang Rak,Bangkok
1,1.0,62.0,44000,,Thung Wat Don,Sathon,Bangkok
2,1.0,61.0,47000,,Lumphini,Pathum Wan,Bangkok
2,1.0,57.0,60000,,Si Phraya,Bang Rak,Bangkok
1,1.0,51.0,35000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,48.0,45000,,Lumphini,Pathum Wan,Bangkok
1,1.0,66.0,70000,,Khlong Ton Sai,Khlong San,Bangkok
2,1.0,52.0,35000,,Huai Khwang,Huai Khwang,Bangkok
2,1.0,48.0,45000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,43.0,36000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,42.0,47000,,Din Daeng,Din Daeng,Bangkok
1,1.0,45.0,35000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,59.0,39000,,Makkasan,Ratchathewi,Bangkok
1,1.0,38.0,29000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,52.0,45000,,Lumphini,Pathum Wan,Bangkok
1,1.0,34.0,15500,,Bang Na,Bang Na,Bangkok
1,1.0,87.0,125000,,Lumphini,Pathum Wan,Bangkok
1,1.0,45.0,38000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,55.8,60000,,Khlong Tan Nuea,Vadhana,Bangkok
2,1.0,45.0,28000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,45.0,45000,,Lumphini,Pathum Wan,Bangkok
1,1.0,37.0,30000,,Thung Mahamek,Sathon,Bangkok
2,1.0,60.0,28000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,52.0,39000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,38.0,38000,,Maha Phruettharam,Bang Rak,Bangkok
1,1.0,51.0,38000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,35.0,38000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,50.0,35000,,Khlong Tan Nuea,Vadhana,Bangkok
1,2.0,65.0,50000,,Thung Wat Don,Sathon,Bangkok
1,1.0,70.0,50000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,40.0,37000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,45.0,38000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,58.0,55000,,Khlong Tan,Khlong Toei,Bangkok
2,1.0,54.0,40000,,Khlong Toei,Khlong Toei,Bangkok
1,1.0,33.0,25000,,Makkasan,Ratchathewi,Bangkok
1,1.0,38.0,35000,,Khlong Tan,Khlong Toei,Bangkok
